Verification Type,Check Slug,Check Name,Category,Lifecycle stage,Reason Slug,Reason Text,Status
id,id_aamva_database_lookup,AAMVA database lookup,fraud,sunset,aamva_server_error,AAMVA database is temporarily unavailable.,not_applicable
id,id_aamva_database_lookup,AAMVA database lookup,fraud,sunset,insufficient_match,ID details did not sufficiently match an entry in the AAMVA database.,failed
id,id_aamva_database_lookup,AAMVA database lookup,fraud,sunset,invalid_country,AAMVA database is not available for the given country.,not_applicable
id,id_aamva_database_lookup,AAMVA database lookup,fraud,sunset,invalid_id_type,ID type is not supported by AAMVA.,not_applicable
id,id_aamva_database_lookup,AAMVA database lookup,fraud,sunset,invalid_issuing_authority,AAMVA database is not available for this jurisdiction.,not_applicable
id,id_aamva_database_lookup,AAMVA database lookup,fraud,sunset,missing_barcode_extraction,Barcode on the ID was decoded and thus was not run against the AAMVA database.,not_applicable
id,id_aamva_database_lookup,AAMVA database lookup,fraud,sunset,missing_required_attributes,ID is missing required details to run against the AAMVA database.,not_applicable
id,id_account_comparison,Account comparison,fraud,production,face_mismatch,Face is inconsistent with the selfie found on the account.,failed
id,id_account_comparison,Account comparison,fraud,production,missing_properties,Missing properties for account comparison.,not_applicable
id,id_account_comparison,Account comparison,fraud,production,names_swapped,The claimed first name matches the extracted last name and vice versa.,failed
id,id_account_comparison,Account comparison,fraud,production,no_account,No account associated with this verification.,not_applicable
id,id_account_comparison,Account comparison,fraud,production,property_conflict,ID properties are inconsistent with the account details.,failed
id,id_account_comparison,Account comparison,fraud,production,unsupported_comparison_language,Comparison attributes include characters from an unsupported language.,not_applicable
id,id_age_comparison,Age comparison,user_action_required,production,failed_requirement,ID details do not meet age requirements.,failed
id,id_age_comparison,Age comparison,user_action_required,production,missing_birthdate,The birthdate is missing.,not_applicable
id,id_age_comparison,Age comparison,user_action_required,production,no_configuration,The verification does not have an age comparison configuration.,not_applicable
id,id_age_inconsistency_detection,Portrait age,fraud,production,inconsistent_age,The age listed on the ID appears to be different than the age estimated from the face portrait.,failed
id,id_age_inconsistency_detection,Portrait age,fraud,production,missing_age_range,The age range is missing.,not_applicable
id,id_age_inconsistency_detection,Portrait age,fraud,production,missing_birthdate,The birth date is missing.,not_applicable
id,id_age_inconsistency_detection,Portrait age,fraud,production,missing_face,The ID has no face.,not_applicable
id,id_age_inconsistency_detection,Portrait age,fraud,production,missing_issuing_date,The issue date is missing.,not_applicable
id,id_attribute_comparison,Attribute comparison,fraud,production,missing_properties,Claimed attributes like name or birthdate are missing.,not_applicable
id,id_attribute_comparison,Attribute comparison,fraud,production,property_conflict,ID properties are inconsistent with the provided values.,failed
id,id_attribute_comparison,Attribute comparison,fraud,production,unsupported_comparison_language,Claimed or extracted attributes include characters from an unsupported language.,not_applicable
id,id_barcode_detection,Barcode,user_action_required,production,back_missing,Unsuccessful detection of the back of the ID.,failed
id,id_barcode_detection,Barcode,user_action_required,production,barcode_not_decoded,The barcode on the ID cannot be decoded.,failed
id,id_barcode_detection,Barcode,user_action_required,production,barcode_not_detected,The barcode on the ID is not found.,failed
id,id_barcode_detection,Barcode,user_action_required,production,barcode_not_required,The barcode was not collected.,not_applicable
id,id_barcode_detection,Barcode,user_action_required,production,unsupported_country,This check is not currently supported for this country.,not_applicable
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,back_missing,Unsuccessful detection of the back of the ID.,not_applicable
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,barcode_not_decoded,The barcode on the ID cannot be decoded.,not_applicable
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,barcode_not_detected,The barcode on the ID is not found.,not_applicable
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,field_invalid,The barcode has fields in invalid formats.,failed
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,format_invalid,The barcode does not follow ID specifications.,failed
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,issuer_invalid,The barcode specifies an issuer that is invalid.,failed
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,issuer_mismatch,The barcode has inconsistent issuer information.,failed
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,metadata_invalid,Barcode metadata is inconsistent with genuine IDs from the provided issuer.,failed
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,required_field_missing,The barcode is missing required fields.,failed
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,revision_invalid,Barcode revision is inconsistent with genuine IDs from the provided issuer.,failed
id,id_barcode_inconsistency_detection,Barcode inconsistency,fraud,production,unsupported_country,This check is not currently supported for this country.,not_applicable
id,id_blur_detection,Blur,user_action_required,beta,too_blurry,The submission is blurry.,failed
id,id_color_inconsistency_detection,Color,fraud,production,image_is_monochrome,The colors detected on the ID appear to be monochromatic.,failed
id,id_compromised_detection,Compromised submission,fraud,production,fraudulent,The ID is reported as fraudulent.,failed
id,id_compromised_detection,Compromised submission,fraud,production,image_quality_low,Portrait quality is too low for comparison.,not_applicable
id,id_compromised_detection,Compromised submission,fraud,production,publicly_available,The ID is likely a sample ID or publicly available.,failed
id,id_compromised_detection,Compromised submission,fraud,production,sample_document,The ID contains a word that indicates it is a sample.,failed
id,id_corner_detection,Corner detection,user_action_required,beta,insufficient_padding,The ID is too close to the edge of the image.,failed
id,id_corner_detection,Corner detection,user_action_required,beta,unidentified,The ID could not be identified.,not_applicable
id,id_corner_detection,Corner detection,user_action_required,beta,unsupported_country,The country is not supported by this check.,not_applicable
id,id_corner_detection,Corner detection,user_action_required,beta,unsupported_document_type,The type of ID is not supported by this check.,not_applicable
id,id_custom_detection,Custom detection,fraud,beta,matched,Detected a match based on configuration,failed
id,id_custom_detection,Custom detection,fraud,beta,not_enabled,The verification check is not enabled.,not_applicable
id,id_damaged_detection,Damaged detection,fraud,beta,holepunch_detected,A holepunch was detected on the ID.,failed
id,id_damaged_detection,Damaged detection,fraud,beta,defect_detected,"Clipped corners, cracks, or torn edges were detected on the ID.",failed
id,id_disallowed_country_detection,Allowed country,user_action_required,production,no_country,No country was extracted.,failed
id,id_disallowed_country_detection,Allowed country,user_action_required,production,no_country_configuration,All countries are allowed.,not_applicable
id,id_disallowed_country_detection,Allowed country,user_action_required,production,not_allowed_by_configuration,The country of the ID is not allowed based on template requirements.,failed
id,id_disallowed_country_detection,Allowed country,user_action_required,production,selected_country_mismatch,The country of the ID does not match the country selected by the user.,failed
id,id_disallowed_type_detection,Allowed ID type,user_action_required,production,disallowed_designation,The ID has a designation that is not allowed based on template requirements.,failed
id,id_disallowed_type_detection,Allowed ID type,user_action_required,production,not_allowed_by_configuration,The ID type is not allowed based on template requirements.,failed
id,id_disallowed_type_detection,Allowed ID type,user_action_required,production,restricted_type,The ID type cannot be collected due to federal compliance requirements.,failed
id,id_disallowed_type_detection,Allowed ID type,user_action_required,production,type_mismatch,The ID type detected does not match the ID type the user selected.,failed
id,id_disallowed_type_detection,Allowed ID type,user_action_required,production,type_not_detected,The ID type of the submission could not be identified.,failed
id,id_disallowed_type_detection,Allowed ID type,user_action_required,production,unrestricted,There are no restrictions on ID type.,not_applicable
